id;title;count;thumbnail;icon;color;img_icon;description;parent;taxonomy;created_by;created_date;updated_by;update_date
1;Light;23891;Gloves extend networks;Books;red;up secured;Republic recontextualize foreground;83886;Tuna bandwidth;Global override Generic;2021-09-02T17:24:29;2021-09-01T22:25:43;2021-09-02T17:06:35
2;Rustic Aruban projection;97590;Phased;Texas Land bluetooth;pink;SMS aggregate AGP;Federation;64824;Ball Finland;Trafficway synthesizing Mississippi;2021-09-02T15:54:16;2021-09-02T01:17:46;2021-09-02T02:29:22
3;withdrawal connect Fresh;12787;Danish Mexican;Account paradigms;ivory;Fresh transmit;architect;2472;Camp Moldova;Awesome Music Market;2021-09-02T06:34:15;2021-09-02T05:30:37;2021-09-02T15:11:42
4;deposit Borders;95068;vortals Vatu Phased;hack;teal;Car;deposit Neck;17588;capacity Orchestrator override;blue;2021-09-02T07:36:49;2021-09-02T08:15:25;2021-09-02T12:26:31
5;payment COM;55315;Junctions Markets;gold;pink;hierarchy Division;contextually-based;18437;THX cross-platform;Berkshire withdrawal;2021-09-02T09:25:15;2021-09-02T18:56:23;2021-09-02T15:01:14
6;focus Division turquoise;6049;Avon magenta;Plastic;sky blue;defect Group Brand;projection;82945;Toys Fiji gold;Cambridgeshire Music;2021-09-02T04:36:01;2021-09-02T10:16:27;2021-09-02T00:56:12
7;lavender;17001;world-class Gorgeous;Turks Fresh withdrawal;red;Brand blockchains;rich Administrator;81885;Islands Representative Handmade;web;2021-09-02T09:24:00;2021-09-02T13:56:57;2021-09-02T05:20:37
8;payment deposit;31795;Soap salmon Electronics;feed lime 3rd;magenta;Handmade Mobility Buckinghamshire;Pants;63740;success invoice SMS;Frozen deposit;2021-09-02T08:50:57;2021-09-02T17:10:42;2021-09-01T23:09:04
9;generate card;74339;up;Fish Florida;cyan;Outdoors Inlet;Diverse IB;72118;Dynamic cross-platform;Soft Ranch Carolina;2021-09-02T10:22:11;2021-09-02T19:30:04;2021-09-02T19:07:25
10;zero Granite Awesome;72945;Gold SAS;Usability Open-architected system;sky blue;Intelligent Account as;Plastic Tennessee;47270;Market Pre-emptive;SDD;2021-09-02T01:04:18;2021-09-02T18:22:09;2021-09-02T02:16:26
