id;title;count;thumbnail;icon;color;img_icon;description;parent;taxonomy;created_by;created_date;updated_by;update_date
1;Applications;43296;human-resource back internet;connecting;olive;magenta;transmitting;3552;transmit;Synergistic users Corporate;2021-09-21T04:33:34;2021-09-21T15:00:09;2021-09-21T00:12:44
2;Lock transform;60737;intermediate Robust;maroon;blue;Forks Account XML;Sports Gloves bus;77869;Electronics Home generation;Plastic;2021-09-21T06:20:19;2021-09-20T16:43:51;2021-09-21T15:26:11
3;Account Officer;59117;Kansas transmitting target;Mission;silver;Falls;Planner;72542;TCP matrix;Turnpike;2021-09-21T02:46:07;2021-09-21T12:02:46;2021-09-21T03:50:18
4;Frozen;66088;Rupee SMTP;Secured Ball;fuchsia;Islands payment;Chicken;63082;Dinar;Reactive Borders;2021-09-20T17:24:45;2021-09-21T10:17:07;2021-09-20T22:01:53
5;Bike;27247;Ergonomic;utilisation Rubber;pink;Liberian ADP;Automotive Legacy Customer;73375;overriding Sleek;Persistent Designer Haiti;2021-09-20T21:09:45;2021-09-21T07:28:33;2021-09-20T18:51:39
6;architecture;57416;Loan Universal analyzing;Granite TCP synergies;violet;Granite cyan;payment card aggregate;61379;magenta directional Jamaica;Configuration;2021-09-21T02:16:37;2021-09-20T18:45:57;2021-09-21T04:35:42
7;quantify group;6914;Rustic;HDD Direct grow;sky blue;SCSI Fords;Managed Intranet;6445;Managed indigo;Samoa Profound;2021-09-21T09:18:54;2021-09-21T13:40:44;2021-09-21T16:05:14
8;methodologies connecting SQL;62575;needs-based Kiribati yellow;synergistic Unbranded Self-enabling;olive;Account Assurance;Rubber parsing;32856;Interface orange synthesize;Congo Handcrafted;2021-09-21T02:50:57;2021-09-21T02:37:54;2021-09-20T22:29:11
9;Granite;98884;extend;extend;ivory;Solomon olive monitor;compress;6160;synergy Belgium;array;2021-09-21T01:03:21;2021-09-21T09:54:26;2021-09-21T11:31:53
10;enhance De-engineered motivating;92104;Steel Afghani Operations;Table Indonesia;pink;payment asymmetric;Mobility;46807;Rica context-sensitive;Engineer Outdoors;2021-09-21T12:01:49;2021-09-20T16:34:09;2021-09-21T12:10:42
